sentence,sentiment,topic
dạy quá thời gian quy định .,2,0
"giảng viên dạy dễ hiểu , vui tính .",2,0
"thầy dạy khá nâng cao , một số tụi em học không kịp .",0,0
sinh viên cần nhiều hơn những bài như vậy .,0,1
thầy tận dụng tốt thời gian và truyền đạt ý tưởng cũng như niềm vui học oop .,2,0
cần có nền tảng trước khi xây dựng cả một website .,0,1
giảng viên dạy hay .,2,0
thầy truyền tải đầy đủ kiến thức .,2,0
"máy chiếu quá mờ , đề nghị thay đổi .",0,2
"giảng viên giảng dạy dễ hiểu , cho bài tập và ví dụ hay , sát với bài .",2,0
giảng bài kém hiệu quả .,0,0
rất hữu ích .,2,3
"lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 , 2010 để việc học và thi trở nên dễ dàng , hiệu quả hơn !",0,2
"cô nhiệt tình , dạy hay , nhiều bài tập .",2,3
chưa truyền đạt kiến thức một cách hiệu quả nhất .,0,0
thầy vui vẻ dạy dễ hiểu .,2,0
chất lượng phòng thực hành quá kém .,0,2
cách dạy nhàm chán .,0,0
"thầy đưa ra những ví dụ rất nhạy cảm , đặc biệt là đối với những bạn nữ .",0,0
"thầy dạy hay , quan tâm học sinh , nhiệt tình .",2,0
cô dạy có phần hơi nhanh .,0,0
chưa nhận được sự hỗ trợ kịp thời từ giảng viên .,0,0
giáo viên tốt và nhiều năng lượng .,2,0
"thầy dạy dạy hay , nhiệt tình , vui vẻ .",2,0
"giáo viên thân thiện , giảng giải dễ hiểu .",2,0
thầy hay đi muộn .,0,0
cách giảng dạy của thầy rất tuyệt vời rất sát với thực tế .,2,0
"vui , nhiệt tình với sinh viên , tận tâm giúp đỡ sinh viên .",2,0
"giảng viên dạy dễ hiểu , phát âm chuẩn và thường tương tác với sinh viên trong buổi học .",2,0
"quan tâm đến học , giảng dạy tận tâm , dễ hiểu .",2,0
"thầy dạy tốt , có lượng kiến thức chất lượng cho sinh viên .",2,0
ra các dạng của đề thi !,1,1
"thầy có tâm huyết trong việc giảng dạy , sẵn sàng giảng lại những kiến thức chưa rõ .",2,0
môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch .,0,2
mong cô có thể giảng dạy nội dung dễ hiểu hơn .,0,0
đi dạy đúng giờ và bù đủ số buổi vắng .,1,1
quan tâm đến nhiều sinh viên hơn vì trong lớp trình độ khá chênh lệch mà cũng không quá nhiều sinh viên .,0,0
"mỗi học kỳ có thể là đồ án khác nhau cho toàn bộ sinh viên để doubledot tránh tình trạng "" xào "" lại các đồ án cũ, nên có chung một quy tắc chuẩn để chấm điểm cho sinh viên .",0,1
cô dạy rất tâm huyết và hiệu quả .,2,0
tuân thủ đúng giờ học .,2,0
không có ý kiến thêm .,1,3
buổi nào cũng muộn hơn 15 phút .,0,0
giảng bài .,1,0
"giảng viên rất tận tâm , nhiệt tình .",2,0
"bỏ môn này hoặc đưa ra chương trình học đơn giản , dễ hiểu hơn cho sinh viên , nắm chắc còn hơn học nhiều mà chẳng được bao nhiêu .",0,1
"giáo viên nên giảng bài cho học sinh , không nên ngồi để học sinh tự nghiên cứu .",0,0
hay cho nghỉ liên tục vì đi công tác .,0,0
thầy thân thiện vầ nhiệt tình .,2,0
anh văn là môn học quá khó đối với em .,0,1
cho nhiều bài tập để học tập cũng như ôn thi .,2,0
hồ bơi bẩn .,0,2
"thầy rất thẳng thắng trong các cuộc nói chuyện , giảng bài , điểm thi .",2,0
còn trong bài thầy dạy hơi nâng cao nên không kịp tiến độ chương trình học .,0,0
"dạy nhiệt tình , hướng dẫn dễ hiểu .",2,0
tới khi đi làm thì không chuyên về lĩnh vực nào .,0,1
có thêm các đồ án mang tính chất sáng tạo .,0,1
thầy sử dụng tiếng anh để sinh viên làm quen tên các thiết bị .,2,0
"giảng viên nhiệt tình , vui vẻ , giải đáp hết mọi thắc mắc sinh viên .",2,0
nên gắn chặt hơn nữa môn học với thực tiễn .,0,1
mặc dù không được gặp giảng viên trong học kỳ qua nhưng em cũng đã cơ bản hoàn thành được đồ án .,0,0
bài tập về nhà quá ít .,0,1
các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .,0,2
"cô là giáo viên rất nhiệt tình với sinh viên , mong cô cứ như vậy hoài .",2,0
"cô giáo tận tâm , nhiệt tình .",2,0
giảng viên cho nhiều bài tập để làm .,2,0
thầy giảng thực tế vào bài tập .,2,0
chưa thấy rõ mục tiêu của môn học .,0,1
thầy để tụi em tự tìm hiểu cũng là một cách hay nhưng hơi khó đối với tụi em .,0,0
nhiều kiến thức nói nhanh và khó hiểu .,0,0
"thầy dạy hay , cách dạy thu hút và thầy rất tâm huyết , giỏi , kiến thức sâu rộng , có phương pháp dạy khoa học , dễ hiểu .",2,0
cập nhật giáo trình chung để giảng dạy môn học .,0,1
cần cho slide về đọc .,0,0
cô dạy rất nhiệt tình và chi tiết .,2,0
cách dạy vẫn như kiểu cũ không có tính hiệu quả cao .,0,0
"giảng viên nhiệt tình , có tâm .",2,0
giảng viên không nhiệt tình và tận tâm .,0,0
giải đáp thắc mắc và không bao giờ dạy hụt bài .,2,0
chương trình học dường như quá nặng .,0,1
nhiệt tình trong công việc .,2,0
"thầy vào lớp trễ , kéo dài thời gian dạy học qua tiết trống , dạy không đúng với trọng tâm ra đề thi , chấm điểm cuối kỳ quá chậm .",0,0
thầy nói rõ .,2,0
"giảng viên khó tính , thỉnh thoảng lớn tiếng với sinh viên , không tôn trọng ý kiến của sinh viên .",0,0
em rất hài lòng về giờ thực hành này .,2,1
thầy thường xuyên bận việc đột xuất và báo nghỉ sát giờ .,0,0
nên có nhiều môn học hơn .,0,1
"thường xuyên kiểm tra kiến thức sinh viên , đảm bảo được chất lượng kiến thức môn học .",2,0
"thầy dạy hay , nhiệt tình , vui vẻ , cho đề dễ .",2,0
thầy giảng dễ hiểu và quan tâm học sinh .,2,0
giảng viên cần sử dụng thời gian trên lớp hiệu quả hơn .,0,0
cần hiểu rõ thêm cách kết nối prolog với c .,0,3
cô giảng bài nhanh quá colonsad .,0,0
"giảng viên nhiệt tình với sinh viên , ví dụ sinh động dễ hiểu .",2,0
"giảng viên giảng dạy dễ hiểu , kỹ càng , tận tâm trong giải thích và dạy học .",2,0
"giảng viên giảng dạy rất nhiệt tình , luôn đến lớp đúng giờ , quan tâm đến việc học tập của sinh viên .",2,0
chương trình học khá nhiều không có thời gian làm bài tập để hiểu hơn về môn học .,0,1
nhưng mà thầy hơi nghiêm khắc và khó tính .,0,0
"thầy dạy tận tâm , nhiệt tình , tâm huyết , vui tính .",2,0
gửi mail mà không thấy cô trả lời .,0,0
"cô tận tình , dạy dễ hiểu , không gây áp lực cho sinh viên .",2,0
giảng viên nên viết bài làm nên bảng sau khi cho sinh viên nên chữa vì chữ các sinh viên nhỏ khiến các sinh viên khác không chép được bài về học .,0,0
"giảng viên lên lớp đúng giờ , giảng viên tính tình vui vẻ .",2,0
có thêm các tài liệu tham khảo .,0,1
"không có , do em không có khả năng tiếp thu đối với môn này thôi .",1,3
thường xuyên nghĩ và phải đi học bù .,0,0
nhiệt tình với học sinh .,2,0
không có điều không hài lòng .,1,0
phải đầu tư thêm trang thiết bị cho phòng thực hành .,0,2
"giáo viên rất dễ tính , dạy tận tình .",2,0
giảng viên hài hước nhiệt tình .,2,0
"giảng viên hay nói chậm và còn giải thích lại bằng tiếng việt , điều này không thực sự cần thiết .",0,0
tổ chức các cuộc thi liên quan tới kỹ năng giao tiếp anh văn .,2,1
thầy cho nhiều ví dụ hơn .,0,0
"thầy giải đáp thắc mắc của sinh viên rất nhiệt tình , có tâm .",2,0
giảng dạy đúng trọng tâm .,2,0
giảng viên nhiệt huyết .,2,0
