sentence,sentiment,topic
dạy rất có tâm .,2,0
cần cung cấp tài liệu đầy đủ và chính xác hơn .,0,1
"thầy còn giảng bài hơi nhỏ , sinh viên tụi em lắng nghe không rõ .",0,0
biết ứng dụng kiến thức đã học vào thực tiễn tạo hứng thú cho sinh viên .,2,0
"giảng viên khá nhiệt tình và tận tâm , bài giảng dễ hiểu .",2,0
"thầy nói có phần khó hiểu , ít làm bài tập .",0,0
hấp dẫn .,2,3
"tận tình , kiến thức dễ hiểu .",2,0
thầy cho chép nhiều quá .,0,0
không có tâm dạy .,0,0
"thầy truyền đạt tốt , giảng bài dễ hiểu .",2,0
đến hôm tiếp theo thì thầy lại nạp cho bọn em nhiều kiến thức mới dẫn đến khó hiểu hơn .,0,0
"có thể cho nhiều bài kiểm tra mỗi phần để biết được tình trạng học tập , hiểu bài của sinh viên .",0,1
hài lòng tất cả .,2,3
tăng thêm giờ học ngoại khoá .,0,1
"giảng dạy hầu như không hướng dẫn tận tình , cho bài tập khá bất hợp lý .",0,0
cần tăng thêm nhiều tiết thực hành .,0,1
nhưng trên hết tụi em vẫn biết đó là ý tốt của thầy .,2,0
mong các thầy cô hãy đưa bài này đến thầy wzjwz54 !,0,0
em nghĩ có nhiều hoạt động giao tiếp bắng tiếng anh thì sẽ hay hơn rất nhiều .,0,1
"dạy dễ hiểu , kể chuyện vui .",2,0
cách đánh giá bài tập lớn cuối kỳ cũng không được khách quan .,0,0
thầy còn cho ít bài tập .,0,0
giảng viên sửa ít bài tập .,0,0
thầy rất nhiệt tình và giải đáp tất cả thắc mắc của sinh viên .,2,0
thầy rất nhiệt tình giảng dạy và tạo môi trường hỗ trợ sinh viên học tập tốt nhất có thể .,2,0
"bài tập tại lớp còn hơi ít , hướng dẫn hơi nhanh !",0,1
nên cung cấp thêm tài liệu và bài tập cho sinh viên .,0,1
nội dung còn khá khó để tiếp thu .,0,1
"mong cô thay đổi cách dạy cho hiệu quả hơn , để sinh viên yêu thương cô nhiều hơn .",0,0
giáo viên tuyệt vời .,2,0
english is good .,2,3
"nhiệt tình , khả năng truyền đạt tốt .",2,0
