sentence,sentiment,topic
"thầy dạy hay , cung cấp cái nhìn thực tiễn và cấp tiến .",2,0
"cho nghỉ học quá nhiều , bù học vào các ngày cuối tuần và kéo dài .",2,0
"thầy cô rất tận tình , cởi mở .",2,0
em cảm thấy khá bức xúc nhưng nếu truy ra lỗi của ai thì em tự nhận một phần về mình .,0,3
phương pháp giảng dạy chưa tạo được nhiều sự thu hút từ sinh viên .,0,0
thầy dạy rất kỹ các vấn đề cần thiết cho sau này .,2,0
"giáo viên nhiệt tình , giảng kỹ phần quan trọng .",2,0
đề nghị nhập chung cả 2 lớp lại học thực hành vì số lượng sinh viên quá ít .,0,0
quá nhanh .,0,3
dạy rất hay .,2,0
thực trạng chung là giảng viên dạy thực hành ở trường chưa thật sự tận tâm giúp sinh viên nâng cao kỹ năng thực hành của môn học đó .,0,0
"em có ý kiến như sau doubledot môn này em nghĩ là cần có nhiều tài liệu , đặc biệt tiếng việt thì càng tốt vì không phải ai cũng giỏi tiếng anh .",0,1
nên tăng thời gian học .,0,1
"rất nhiệt tình , nhưng cách truyền đạt còn hạn chế , nên sự tiếp thu từ thầy là rất ít .",2,0
"hiện tại thì thầy đánh giá chủ yếu vào nội dung nội dung của các đồ án ngay từ đầu đã khá nhảm , đề bài của thầy đại loại là "" sinh viên hãy đề ra một dự án lớn , có khả năng thực hiện được trong tương lai "" , không liên quan gì đến tên môn học !",0,0
"thay đổi cách truyền đạt môn , thay vì giảng viên có giờ lên lớp giảng bài nhàm chán , sinh viên tiếp thu thụ động , ý kiến doubledot giảng viên chia nhỏ nhóm học tập , mỗi buổi sẽ đưa chủ đề của bài hôm đó và giải thích cách làm việc , cho thời gian sinh viên làm việc nhóm với sự giám xác của giảng viên , sau đó bốc thăm cho từng nhóm lên trình bày , sau đó giảng viên nhận xét cho điểm .",0,1
thầy wzjwz202 và thầy wzjwz203 dạy rất tuyệt vời .,2,0
"thời gian hoàn thành đồ án quá gấp rút , khi chưa học được gì cũng phải hoàn thành tất cả các nội dung trong đồ án để nộp đúng hạn , mà nội dung toàn những phần chưa học , chưa hiểu .",0,1
"slide bài giảng là slide cũ từ năm 2009 và không được sửa nhiều lỗi từ chính tả , ngữ pháp đến sai sót trong thông tin bài giảng .",0,1
thầy dạy rất hay và dễ hiểu .,2,0
ít bài tập vận dụng .,0,1
"những bài tập quá trình không rải đều các buổi học mà chỉ tập trung vào 2 - 3 buổi làm một số sinh viên trong đó có bản thân em bị mất từ 2 - 3 cột điểm , làm giảm tổng điểm xuống mức thấp .",0,1
"cô dạy dễ hiểu , vui tính .",2,0
thầy cũng không hề có ý muốn khích lệ sinh viên khi sinh viên làm bài không tốt mà lại tỏ ra không hài lòng và chê bai .,0,0
thầy ít dạy cài đặt nên khó trong việc áp dụng cài đặt .,0,0
"giảng viên giảng rất dễ hiểu , tận tình .",2,0
"thầy dạy tốt , lập nhóm thuyết trình tạo không khí học tập tốt .",2,0
riêng trang thiết bị quá kém .,0,2
nhiệt tình giảng dạy và vui vẻ hòa đồng .,2,0
