sentence,sentiment,topic
"đối với em , em đã thấy hợp lý .",2,3
"em nhận thấy thầy wzjwz67 rất nhiệt tình trong việc giảng dạy , cung cấp rất nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng khi đi ra ngoài làm việc , phương pháp học gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích .",2,0
giáo viên còn khá dễ dãi với sinh viên .,0,0
theo em nghĩ nên sửa lại hoặc thay mới dàn máy tính cũ và dễ bị lỗi đi .,0,2
bởi vì môn giải thuật là môn khô khan và khó học nên em mong thầy làm cách nào đó để khiến sinh viên hứng thú học và đến lớp hơn .,0,0
cô còn giảng hơi nhanh .,0,0
không nên thêm bảng băm vào môn này .,0,1
đầy đủ và nhiều ví dụ .,2,0
giáo viên dạy tốt .,2,0
phòng thực hành nóng .,0,2
"dạy đúng giờ , dễ hiểu .",2,0
"giảng viên có cách truyền đạt dễ hiểu , tận tâm .",2,0
"tận tâm , nhiệt tình , tiết học thú vị , dễ hiểu , thân thiện , gần gũi .",2,0
"không đảm bảo được thời gian lên lớp , giờ học lung tung .",0,1
chưa có demo thực tế .,0,0
nghe tiếng anh nhiều .,1,1
đối với môn này thì khá hữu ích cho sinh viên trong đời sống xã hội hay trong công việc .,2,1
"không có giải thích rõ , cụ thể về bài tập .",0,1
giúp sinh viên làm việc nhóm hiệu quả hơn .,2,0
chất lượng đào tạo rất tốt .,2,1
"nên thực hành những thứ dễ tiếp thu bài học lý thuyết trước đó , và có cuộc thi cộng điểm cho những ai làm thêm bài tập hoặc chương trình .",0,1
"giảng viên đứng lớp sử dụng giờ trên lớp không hiệu quả , thường kết thúc sớm , và dặn dò những điều không cần thiết , cụ thể như có những buổi học diễn ra doubledot sinh viên lên seminar đề tài không liên quan .",0,0
chưa đưa được nhiều bài tập cho sinh viên .,0,0
cho luyện hơi ít bài tập .,0,1
khả năng truyền đạt không tốt lắm .,0,0
thầy giảng hơi buồn ngủ .,0,0
"thầy dạy rất hay , có kiến thức sâu rộng .",2,0
chưa có hoạt động nhóm .,0,1
chưa thật sự dễ hiểu .,0,1
dạy lố giờ .,0,0
"dạy trễ , giờ học bị kéo dài .",0,0
cần thực hành môn học nhiều hơn .,0,1
"chưa từng thấy cô giảng dạy trên lớp và nói gì đồ án , trong khi thầy dạy lý thuyết lại có .",0,0
giảng viên nên đảm bảo giờ lên lớp vì giảng viên đã nghỉ khá nhiều số tiết có trên lớp .,0,0
"tận tình , kỹ lưỡng .",2,0
"thi giữa kỳ cả lớp cũng phải ngồi đợi hơn 30 phút vì giáo viên "" kẹt xe "" .",0,0
thầy nên tham khảo cách cho và làm bài tập của thầy wzjwz319 chứ đừng show slide bài tập rồi vài giây sau qua slide đáp án .,0,0
giáo viên giảng dạy dễ hiểu và nhiệt tình trong tiết học .,2,0
giảng dạy rất dễ hiểu và tận tâm với sinh viên .,2,0
"có nhiều kiến thức thực tiễn , phù hợp với môi trường làm việc hiện đại .",2,1
cô dạy quá nhiều lý thuyết suông .,0,0
"thầy giảng bài nhiệt tình , nhưng hơi khó hiểu .",0,0
tăng cường speaking trong giờ học .,0,1
"giáo viên giảng bài kỹ , tận tâm .",2,0
"giảng viên dạy hay , dễ hiểu .",2,0
thầy có hướng dẫn vào lúc thực hành .,1,0
giảng viên hỗ trợ tích cực .,2,0
giảng viên hòa đồng .,2,0
"dạy hay , dễ hiểu , luôn hòa đồng và vui vẻ với sinh viên .",2,0
thực hành với lý thuyết có vẻ không có liên quan với nhau .,0,1
các bài hướng dẫn lab thực hiện trên win server 2k3 rất lỗi thời .,0,0
"thầy dạy rễ hiểu , nhiệt tình .",2,0
sử dụng tạo bài kiểm tra trong course chưa hợp lý .,0,0
hình như thầy nghỉ hơi nhiều thì phải .,0,0
"giảng viên truyền đạt kiến thức tốt , có nhiều kinh nghiệm , có thể giải đáp được thắc mắc của sinh viên .",2,0
em thấy môn này không áp dụng thực tế đối với trường mình .,0,1
làm chủ đề đồ án nhóm .,1,1
