sentence,sentiment,topic
slide giáo trình đầy đủ .,2,1
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,0
đi học đầy đủ full điểm chuyên cần .,0,1
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,0
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,3
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1
thầy rất tận tình và đi dạy rất đúng giờ .,2,0
dễ bị áp lực .,0,3
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0
môn học còn dễ cần nâng độ khó lên nữa .,0,1
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1
hài lòng về tất cả .,2,3
"nhiệt tình , vui vẻ .",2,0
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,0
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,0
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1
tiết học thoải mái .,2,0
"thầy nhiệt tình , quan tâm tới sinh viên .",2,0
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,0
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,1
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0
nên biên soạn một tài liệu của chính trường ta .,0,1
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0
"bài tập đa dạng , cụ thể .",2,1
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1
