id,text,sentiment,aspect
1,slide giáo trình đầy đủ .,positive,cung_cap_tai_lieu
2,"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,ky_nang_giang_day
2,"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,hanh_vi
3,đi học đầy đủ full điểm chuyên cần .,neutral,noi_chung
4,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,thiet_bi_day_hoc
5,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,ky_nang_giang_day
5,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,bai_tap
6,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,ky_nang_giang_day
6,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,hanh_vi
7,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,chuong_trinh_hoc
8,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,chuong_trinh_hoc
9,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,chuong_trinh_hoc
10,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,ky_nang_giang_day
10,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,neutral,de_xuat
11,thầy rất tận tình và đi dạy rất đúng giờ .,positive,hanh_vi
12,dễ bị áp lực .,negative,noi_chung
13,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",negative,hanh_vi
14,môn học còn dễ cần nâng độ khó lên nữa .,negative,chuong_trinh_hoc
14,môn học còn dễ cần nâng độ khó lên nữa .,neutral,de_xuat
15,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",neutral,kinh_nghiem
15,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",neutral,de_xuat
16,hài lòng về tất cả .,positive,noi_chung
17,"nhiệt tình , vui vẻ .",positive,hanh_vi
18,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,hanh_vi
19,phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,ky_nang_giang_day
20,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,ky_nang_giang_day
21,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,chuong_trinh_hoc
21,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,neutral,de_xuat
22,tiết học thoải mái .,positive,noi_chung
23,"thầy nhiệt tình , quan tâm tới sinh viên .",positive,hanh_vi
24,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,ky_nang_giang_day
24,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,hanh_vi
25,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,bai_tap
25,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,chuong_trinh_hoc
26,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,cung_cap_tai_lieu
27,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,ky_nang_giang_day
27,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,neutral,de_xuat
28,nên biên soạn một tài liệu của chính trường ta .,neutral,cung_cap_tai_lieu
28,nên biên soạn một tài liệu của chính trường ta .,neutral,de_xuat
29,không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,hanh_vi
30,"bài tập đa dạng , cụ thể .",positive,bai_tap
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,kinh_nghiem
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,cung_cap_tai_lieu
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,chuong_trinh_hoc
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",neutral,de_xuat
32,slide up đầy đủ trước mỗi buổi học .,positive,cung_cap_tai_lieu
33,"nội dung giảng dạy quá nhàm chán , khô khan .",negative,chuong_trinh_hoc
34,lượng kiến thức quá nhiều trong một học kỳ .,negative,chuong_trinh_hoc
35,thầy chép bảng nhiều .,negative,ky_nang_giang_day
36,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,ky_nang_giang_day
36,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,hanh_vi
37,"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,noi_chung
38,"hay , nhiệt tình , dễ hiểu .",positive,ky_nang_giang_day
38,"hay , nhiệt tình , dễ hiểu .",positive,hanh_vi
39,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,ky_nang_giang_day
39,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",positive,hanh_vi
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,ky_nang_giang_day
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,kinh_nghiem
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,cung_cap_tai_lieu
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,kien_thuc
41,hy vọng học kỳ sau có thể học được với cô .,positive,de_xuat
42,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,chuong_trinh_hoc
43,trong khi giảng nói nhỏ quá .,negative,ky_nang_giang_day
44,thực hành khó hiểu .,negative,kinh_nghiem
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,ky_nang_giang_day
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,hanh_vi
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,kien_thuc
46,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,ky_nang_giang_day
46,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,hanh_vi
